"","Var1","Freq"
"227","광주광역시 광산구 신흥동길",2
"228","광주광역시 광산구 신흥신기안길",1
"229","광주광역시 광산구 아산길",1
"230","광주광역시 광산구 아산길35번길",1
"231","광주광역시 광산구 앰코로",7
"232","광주광역시 광산구 어등대로",40
"233","광주광역시 광산구 어등대로233번길",1
"234","광주광역시 광산구 어등대로433번길",6
"235","광주광역시 광산구 어등대로531번길",1
"236","광주광역시 광산구 어등대로595번길",1
"237","광주광역시 광산구 어등대로647번길",2
"238","광주광역시 광산구 어등대로648번길",1
"239","광주광역시 광산구 어등대로648번안길",3
"240","광주광역시 광산구 어등대로653번길",4
"241","광주광역시 광산구 어등대로665번길",14
"242","광주광역시 광산구 여대길",11
"243","광주광역시 광산구 연계금곡길",1
"244","광주광역시 광산구 오룡동안길",1
"245","광주광역시 광산구 오목내길",1
"246","광주광역시 광산구 오운로",2
"247","광주광역시 광산구 왕버들로",53
"248","광주광역시 광산구 왕버들로132번길",3
"249","광주광역시 광산구 왕버들로251번길",17
"250","광주광역시 광산구 왕버들로252번길",25
"251","광주광역시 광산구 왕버들로265번길",15
"252","광주광역시 광산구 왕버들로289번길",7
"253","광주광역시 광산구 왕버들로290번길",5
"254","광주광역시 광산구 용동길",1
"255","광주광역시 광산구 용동길23번길",1
"256","광주광역시 광산구 용보로",7
"257","광주광역시 광산구 용보로27번길",2
"258","광주광역시 광산구 용보로51번길",1
"259","광주광역시 광산구 용봉길",1
"260","광주광역시 광산구 용아로",58
"261","광주광역시 광산구 용아로297번길",9
"262","광주광역시 광산구 용아로379번길",39
"263","광주광역시 광산구 용아로380번길",1
"264","광주광역시 광산구 용아로399번길",23
"265","광주광역시 광산구 용아로400번길",10
"266","광주광역시 광산구 용아로401번길",3
"267","광주광역시 광산구 용진로",10
"268","광주광역시 광산구 우산로",24
"269","광주광역시 광산구 우산로73번길",1
"270","광주광역시 광산구 우산로85번길",4
"271","광주광역시 광산구 우산로95번길",10
"272","광주광역시 광산구 우산로96번길",13
"273","광주광역시 광산구 원사호길",1
"274","광주광역시 광산구 월계로",119
"275","광주광역시 광산구 월계로118번길",19
"276","광주광역시 광산구 월계로130번길",12
"277","광주광역시 광산구 월계로140번길",4
"278","광주광역시 광산구 월계로150번길",7
"279","광주광역시 광산구 월계로22번길",2
"280","광주광역시 광산구 월계로34번길",2
"281","광주광역시 광산구 월곡로",47
"282","광주광역시 광산구 월곡로39번길",1
"283","광주광역시 광산구 월곡반월로",29
"284","광주광역시 광산구 월곡반월로16번길",2
"285","광주광역시 광산구 월곡반월로32번길",3
"286","광주광역시 광산구 월곡반월로48번길",3
"287","광주광역시 광산구 월곡산정로",51
